イベントNo.,イベント題名,クイズ文,満腹増減1,安心増減1,満腹増減2,安心増減2,正解,不正解,イベント概要
1,災害発生！,あいうえお,0,0,0,0,正解,不正解,自然災害はいつ起きるかわからない。災害に備え、日頃から準備をしておくことが大切だ。
2,避難所到着！,かきくけこ,-2,-1,0,-1,正解,不正解,避難所についたら、まず個人情報やアレルギーなどを記帳する。避難所によっては毛布などの生活用品を支給してもらえる。
3,ロウソク以外の灯りが欲しい,ロウソクが切れそうだ。ロウソクの代わりになるものはどっち？,1,1,0,-1,ツナの缶詰,みかんの缶詰,停電が続く中、ロウソク以外の灯りとして、ツナの缶詰が活用できる。
4,連絡を取るときに使うのは、スマホ？公衆電話？,災害時に連絡を取るのに、適した連絡手段はどっち？,0,1,0,-1,公衆電話,スマートフォン,連絡を取るときには、街中の公衆電話を使おう。
5,トイレに行こうかな？,トイレはいつ行ったらいい？,0,1,0,-1,こまめに行っておく,必要な時に行く,トイレを我慢すると、便秘や膀胱炎の原因になる。避難所はトイレが混雑することがあるので、こまめに用を足すようにしよう。
6,慣れない場所で眠れない！,避難所で周囲の人が気になって眠れないとき、どうする？。,0,1,0,-1,段ボールで仕切りを作る,音楽を流す,避難所は見ず知らずの人と生活を共有するスペースだ。他の人が気になって眠れないときは、段ボールで仕切りを作ろう。
7,電池がない！,単三電池を単一電池の代わりにするのに必要なものは？,0,1,0,-1,布とアルミホイル,紙と木の板,単三電池を単一電池にすることができる。
8,途中から避難する？,避難所は災害直後でなくても利用できる？,0,1,0,0,できる,できない,後からでも避難所は利用できる。
9,地域の避難所を利用できるのはその地域住民だけ？,自宅の近くの避難所しか利用できない？,0,1,0,0,いいえ,はい,避難所は外出先や勤務地など、どこでも利用できる。
10,エマージェンシーシートってなんだろう？,防寒に使えそうなのは？,0,2,0,-2,エマージェンシーシート,サランラップ,体温の低下を緩和させる軽量コンパクトな防寒シートです。
11,綺麗な水がない,水がない時にあると便利な物は？,0,2,0,-2,ウエットティッシュ,ティッシュペーパー,避難所では綺麗な水が手に入りづらく、食事前の手洗いや体拭き、怪我をした時に傷口を清潔にすることが困難な状況になりかねない。そんな中、ウエットティッシュは防災グッズの中に加えておくべき物である。
12,給水車がやってきた！飲み水を運ぶのに向いているのは？,給水車から飲水を運ぶのに向いている道具はどっち？,1,1,-1,-1,ビニール袋,バケツ,給水車から飲水を運ぶ時、ビニール袋も有力なアイテムです。
13,トイレ故障！簡易トイレの作り方とは?!,簡易トイレを自作するために必要な材料はどれ？,1,1,-1,-1,段ボール、ビニール袋、新聞紙,枝、草、葉っぱ,穴を開けた段ボールの箱の中に、ビニール袋を入れ、新聞紙を敷き詰めれば簡易トイレの完成！
14,着替える場所がない,着替え場所にあると便利なものは？,0,2,0,-2,「使用中」の札,ストップウォッチ,仕切り等が無いため、着替える際に困ることが多い。
15,子供の声が気になる,子供の騒ぐ声がうるさいと、避難所で問題になったときの対処法は？,0,1,0,-1,子供たちに自ら対策を考えてもらう,大人が騒ぐことをやめるように強制する,避難所で子供が騒いでしまう時、子供たちに自ら対策を考えてもらう。
16,エコノミークラス症候群や生活不活発病の予防,エコノミークラス症候群や生活不活発病の予防に効果的なのは？,-1,2,-2,-1,ラジオ体操,歌を歌う,避難所生活では運動不足になりがちのため、手軽に体を動かせるラジオ体操を行うと良い。
17,埃がたたない掃除方法,埃がたたない掃除方法は？,0,1,0,-1,濡れた新聞紙で拭く,布で埃を払う,近くに避難者がいるため周りを気にしながら掃除をしなければならず、埃をたてない掃除の仕方として濡れた新聞紙を敷く方法がある。
18,先に食べるべきなのは？,配給でもらったお菓子とおにぎり。先に食べるべきなのは？,1,1,-1,-1,おにぎり,お菓子,避難所で支給される食べ物の中には、足の早いものもある。賞味期限や環境を考慮して食べる順番を決めよう。
19,1日に必要な運動量,1日にどのくらい運動する機会が必要？,0,1,-1,-2,3回,気分次第,1日に3回、適度な運動をする必要がある。
20,水不足で歯磨きできない,水不足で歯磨きができない状況で役立つ物は？,0,2,-2,-2,口腔洗浄液,牛乳,避難所では水不足に陥りやすく、歯磨きができない状況になりやすいため、口腔洗浄液や入れ歯消毒錠などを用意しておくと良い。
21,感染症の予防,避難所ではうがい、手洗いはどのくらい行うべき？,0,1,0,-1,こまめに行う,気になったときに行う,風邪などが流行りやすくなるので手洗い、うがいが大切になる。
22,水を放置してしまった…,日向に水を放置してしまった！まだ飲める？,0,0,0,0,飲めない,飲める,夏場、日向に置いた飲み水はどれくらいもつ？
23,靴が臭い！消臭するには？,避難所生活が続くと靴が臭くなることがある。消臭方法として正しいのはどれ？,0,1,0,-1,10円玉,100円玉,10円玉は銅でできているため、靴の中に入れると消臭効果が見込める（複数個入れよう）。
24,尻が痛い！簡易クッションの素材とは！？,簡易クッションにできるのはどちらでしょう,0,1,0,-1,ビニール袋,ペットボトル,ビニール袋を膨らませると、クッションになります。
25,支援物資が少ない状況での食料調達方法,支援物資が少ない状況での食料調達方法は？,2,1,-2,-1,近隣のスーパーなどを探す,あきらめる,支援物資の到着が遅れて避難所の食料が少ない状況では、食料が備蓄されていそうな近隣のスーパーやコンビニなどを手分けして探す。
26,服薬していた薬の名前がわからない,服薬していた薬の名前がわからない場合、何から類推できるでしょうか？,0,2,-1,-2,食べてはいけない果物,好きな食べ物,服薬に際して食べてはいけないと言われている食品や果物などの情報から薬名を類推できる
27,イベント題名,クイズ文,0,0,0,0,正解,不正解,イベント概要
28,イベント題名,クイズ文,0,0,0,0,正解,不正解,イベント概要
29,イベント題名,クイズ文,0,0,0,0,正解,不正解,イベント概要
30,イベント題名,クイズ文,0,0,0,0,正解,不正解,イベント概要
31,イベント題名,クイズ文,0,0,0,0,正解,不正解,イベント概要
32,イベント題名,クイズ文,0,0,0,0,正解,不正解,イベント概要
33,イベント題名,クイズ文,0,0,0,0,正解,不正解,イベント概要
34,イベント題名,クイズ文,0,0,0,0,正解,不正解,イベント概要
35,イベント題名,クイズ文,0,0,0,0,正解,不正解,イベント概要
36,イベント題名,クイズ文,0,0,0,0,正解,不正解,イベント概要
37,イベント題名,クイズ文,0,0,0,0,正解,不正解,イベント概要
38,イベント題名,クイズ文,0,0,0,0,正解,不正解,イベント概要
39,イベント題名,クイズ文,0,0,0,0,正解,不正解,イベント概要
40,イベント題名,クイズ文,0,0,0,0,正解,不正解,イベント概要
41,イベント題名,クイズ文,0,0,0,0,正解,不正解,イベント概要
42,イベント題名,クイズ文,0,0,0,0,正解,不正解,イベント概要
43,イベント題名,クイズ文,0,0,0,0,正解,不正解,イベント概要
44,イベント題名,クイズ文,0,0,0,0,正解,不正解,イベント概要
45,イベント題名,クイズ文,0,0,0,0,正解,不正解,イベント概要
46,イベント題名,クイズ文,0,0,0,0,正解,不正解,イベント概要
47,イベント題名,クイズ文,0,0,0,0,正解,不正解,イベント概要
48,イベント題名,クイズ文,0,0,0,0,正解,不正解,イベント概要
49,いでよ神龍！叶える願いは誰のもの？,叶える願いは誰のもの？,0,0,0,0,正解,不正解,神龍降臨！叶える願いは俺のもの！
50,見知らぬ天井！,誉毒,0,0,0,0,搬送,救急車,最近元気が出ない……そう気づいたときにはもう遅かった……
